Name,Team,Position,WAR,G,PA,AB,RUN,HIT,2B,3B,HR,TB,RBI,BB,HBP,IB,SO,DP,SAC,SAC2,BA,OBP,SLG,OPS,wOBA,wRCP,WPA,IsoP,IsoD,wRC27,wRAA,RAABat,RAAdef,RAADefPos,RAAdeftotal,RAA.Adj,Advancedbase,Runper,Advancedpossibility,Outonbase,SB,CS,RAASB,RAABR,Spd
¼ÛÁØ¼®,»ï,LF,0.06,19,55,51,5,12,2,0,2,20,4,3,1,0,13,1,0,0,0.235,0.291,0.392,0.683,0.317,81.8,-0.22,0.157,0.056,3.83,0.313,-1.3,0.4,-0.7,-0.3,-0.7,0,16.7,27.3,0,0,0,0,0.2,1.7
½Åº»±â,K,2B,0.26,96,205,173,25,41,8,0,1,52,19,22,4,0,44,6,5,1,0.237,0.335,0.301,0.636,0.305,74.7,-0.52,0.064,0.098,3.57,0.303,-6.4,3,1,4,-3.9,0.036585366,29.3,40,4.44,1,2,-0.7,0.2,2.4
½Å¿ë¼ö,·Ô,CF,0.21,71,136,119,23,31,5,2,1,43,6,11,3,0,20,2,2,1,0.261,0.336,0.361,0.697,0.327,88.6,-0.63,0.101,0.075,4.36,0.324,-2,-5.7,-0.1,-5.7,-9.2,0,37.9,26,6,3,1,0.1,-1.7,6.7
½ÅÁØ¿ì,Å°,SS,-0.25,56,51,42,7,7,3,0,0,10,4,4,3,0,21,1,1,1,0.167,0.28,0.238,0.518,0.256,42.9,-0.2,0.071,0.113,1.9,0.255,-3.6,-1.6,0.7,-0.8,-6.9,0.086956522,30.4,64.7,17.65,0,1,-0.4,-1.3,3.2
½É¿ìÁØ,K,SS,1.74,139,460,407,61,109,20,2,6,151,48,32,4,0,65,2,10,6,0.268,0.323,0.371,0.694,0.318,83.3,-0.16,0.103,0.055,4.04,0.316,-9.6,2.6,5.5,8.1,-4.6,0.047337278,32.5,54.5,2.97,16,6,0.5,1.9,6
¾ÈÀç¼®,µÎ,SS,0.79,96,224,200,28,51,8,2,2,69,14,16,4,0,53,4,0,4,0.255,0.317,0.345,0.662,0.314,83.8,-1.02,0.09,0.062,3.89,0.316,-4.5,-4.8,2,-2.8,-8.3,0.023809524,31,47.2,1.89,1,0,0.1,1,4.9
¾ÈÁß¿­,·Ô,C,0.92,58,157,125,19,29,5,0,3,43,16,27,1,0,25,1,3,1,0.232,0.37,0.344,0.714,0.341,98.7,0.36,0.112,0.138,5.18,0.339,-0.3,0.7,3.1,3.8,0.3,0.029411765,23.5,26.8,0,0,0,0,-0.1,2.6
¾ÈÄ¡È«,·Ô,2B,3.45,119,490,421,58,129,30,2,10,193,82,52,3,2,58,10,5,9,0.306,0.379,0.458,0.838,0.382,124.3,1.55,0.152,0.073,6.42,0.377,14.5,-6.6,1.2,-5.4,6.5,0.004716981,22.6,42.1,3.31,3,6,-2.2,0.8,3.2
¾Ë¸óÅ×,K,LF,0.57,60,249,224,18,61,9,0,7,91,36,22,1,0,49,9,0,2,0.272,0.337,0.406,0.744,0.347,102.5,-0.46,0.134,0.065,4.95,0.345,0.7,-1.4,-4.6,-6,-1.5,0.058823529,12.9,19.5,4.88,1,0,0.1,-0.9,1.2
¾ËÅ×¾î,N,CF,4.91,143,565,492,83,134,19,2,32,253,84,57,11,2,156,6,0,5,0.272,0.358,0.514,0.872,0.393,132,2.11,0.242,0.085,6.74,0.389,22,-0.2,1,0.8,24.9,0.017241379,22,49.5,5.16,20,5,1.7,1.4,5.3
