Name,Team,Position,WAR,G,PA,AB,RUN,HIT,2B,3B,HR,TB,RBI,BB,HBP,IB,SO,DP,SAC,SAC2,BA,OBP,SLG,OPS,wOBA,wRCP,WPA,IsoP,IsoD,wRC27,wRAA,RAABat,RAAdef,RAADefPos,RAAdeftotal,RAA.Adj,Advancedbase,Runper,Advancedpossibility,Outonbase,SB,CS,RAASB,RAABR,Spd
ÀåÁö½Â,ÇÑ,RF,-0.3,24,72,61,7,11,1,0,1,15,5,7,1,0,24,4,2,1,0.18,0.271,0.246,0.517,0.249,40.1,-0.7,0.066,0.091,1.64,0.251,-5.3,-1.8,-0.8,-2.7,-7,0,31.6,60,10,2,0,0.4,-0.2,2.7
Àü¹Î¼ö,N,RF,0.15,71,109,98,12,25,3,0,3,37,16,11,0,1,23,2,0,0,0.255,0.33,0.378,0.708,0.331,92.6,0.43,0.122,0.075,4.51,0.33,-1,-1.5,-1.1,-2.7,-3.5,0,22.5,32,4,0,0,0,-0.9,2
Àüº´¿ì,Å°,3B,0.44,114,260,213,35,40,8,0,6,66,31,33,9,0,82,0,4,1,0.188,0.32,0.31,0.63,0.304,78.4,-0.2,0.122,0.133,3.65,0.308,-7,0.1,-0.1,0,-6.2,0.053191489,30.9,39,0,3,1,0.1,0.6,4.4
ÀüÁØ¿ì,·Ô,LF,4.93,144,619,552,88,192,46,0,7,259,92,53,5,0,71,10,1,8,0.348,0.405,0.469,0.874,0.406,140.4,4.09,0.121,0.057,7.72,0.402,30.5,-6.1,-8,-14.1,25.9,0.021818182,29.5,42.9,2.48,6,3,-0.3,1.9,3.6
Á¤¼öºó,µÎ,CF,1.47,104,351,313,50,81,19,4,3,117,37,29,3,1,50,7,4,2,0.259,0.326,0.374,0.7,0.325,91.6,-0.07,0.115,0.067,4.13,0.328,-3.7,-0.7,1.2,0.5,-1.9,0.05,33.6,61.5,1.28,12,7,-0.8,3.3,6.5
Á¤Àº¿ø,ÇÑ,2B,4.47,139,608,495,85,140,22,5,6,190,39,105,1,1,105,9,4,3,0.283,0.407,0.384,0.791,0.379,126.6,1.76,0.101,0.124,6.61,0.381,19.6,7.5,0.3,7.8,26.8,0.045801527,30.2,45.2,3.61,19,11,-1.2,0.9,5.7
Á¤ÀÇÀ±,S,LF,-0.13,62,178,165,21,38,2,0,7,61,24,11,0,1,37,5,0,2,0.23,0.275,0.37,0.645,0.295,67.3,-0.04,0.139,0.045,3.07,0.292,-7.2,-2.7,-2.7,-5.4,-8.8,0,25,39.1,0,0,0,0,1.2,1.9
Á¤ÁÖÇö,L,2B,0.43,73,214,181,26,43,7,1,3,61,10,24,0,0,32,4,9,0,0.238,0.327,0.337,0.664,0.306,79.7,-0.7,0.099,0.089,3.55,0.31,-5.4,0.8,0.9,1.7,-4.6,0,32.9,41.3,2.17,3,3,-0.8,0.7,4.3
Á¤Áø±â,S,LF,-0.16,88,206,193,27,43,8,0,6,69,21,10,1,0,39,2,2,0,0.223,0.265,0.358,0.622,0.286,62.1,-0.26,0.135,0.042,2.77,0.284,-9.7,-0.3,-0.2,-0.4,-10.3,0.042857143,30,38.1,0,6,3,-0.2,-0.1,4.9
Á¤ÁøÈ£,ÇÑ,LF,-0.42,50,167,145,9,33,9,0,0,42,15,15,1,1,22,5,4,2,0.228,0.301,0.29,0.59,0.277,58.7,-0.73,0.062,0.073,2.58,0.279,-8.5,5.9,-2.1,3.8,-2.9,0.051724138,15.5,37.5,6.25,4,1,0.3,-0.6,2.7
Á¤Çö,S,2B,0.25,68,149,117,14,26,5,1,0,33,7,17,7,0,24,7,8,0,0.222,0.355,0.282,0.637,0.304,76.1,-0.67,0.06,0.132,3.51,0.305,-4.4,0,0.5,0.6,-4.2,0,26.9,42.9,0,0,1,-0.5,0.7,2.6
Á¤ÈÆ,·Ô,1B,2.46,135,561,486,70,142,27,1,14,213,79,68,3,8,89,6,1,3,0.292,0.38,0.438,0.819,0.377,121.9,0.83,0.146,0.088,6.52,0.374,14.9,0.5,-9,-8.5,10.6,0.029535865,23.6,34.6,10,8,1,1,-5.8,4.3
Á¶¼öÇà,µÎ,CF,1.01,115,104,84,34,24,2,1,1,31,8,16,3,0,26,1,1,0,0.286,0.418,0.369,0.787,0.381,128.1,0.48,0.083,0.132,6.63,0.383,3.6,4.7,-0.5,4.2,11,0.101010101,33.3,43.5,3.23,21,4,2.4,0.4,8.7
Á¶¿ëÈ£,K,LF,0.39,138,515,428,71,101,14,1,0,117,48,74,3,0,85,8,5,5,0.236,0.349,0.273,0.622,0.31,77.7,0.21,0.037,0.113,3.83,0.307,-14.3,0.6,-4.7,-4.1,-12.3,0.046153846,36.4,52.7,0.78,12,9,-1.7,3.1,4.5
Á¶ÇÑ¹Î,ÇÑ,RF,0.05,52,145,127,15,25,6,2,5,50,18,13,2,0,57,4,1,2,0.197,0.278,0.394,0.672,0.305,77.6,-0.92,0.197,0.081,3.3,0.307,-4,1,-1,0,-3.6,0.046511628,23.3,33.3,4.76,3,2,-0.3,-0.2,4.4
Áö½Ã¿Ï,·Ô,C,1.04,73,187,166,23,40,9,0,7,70,26,14,5,0,54,6,2,0,0.241,0.319,0.422,0.741,0.34,96.8,0.01,0.181,0.078,4.6,0.336,-0.8,-1.3,3.8,2.5,-2.5,0.03125,25,33.3,2.78,0,0,0,-0.3,1.3
Ã¤Àº¼º,L,RF,2.86,110,448,387,59,107,20,0,16,175,82,38,16,2,80,9,0,7,0.276,0.359,0.452,0.812,0.373,128.2,2.6,0.176,0.083,6.06,0.383,15.4,-0.9,-6.5,-7.4,15.8,0.016666667,23.9,44.2,2.33,4,2,-0.2,1.4,3
ÃÖ¿µÁø,»ï,3B,0.32,44,63,57,9,16,1,2,1,24,6,5,1,0,12,1,0,0,0.281,0.349,0.421,0.77,0.36,114,-0.08,0.14,0.069,5.6,0.362,1.1,-0.8,-0.4,-1.2,0.1,0.03125,25,50,4.17,1,0,0.2,-0.3,5.6
ÃÖ¿ëÁ¦,µÎ,C,0.54,79,119,104,7,29,3,0,0,32,15,11,2,0,21,0,1,1,0.279,0.356,0.308,0.664,0.324,89.2,0.5,0.029,0.077,4.55,0.325,-1.6,-0.7,1.6,0.9,-1.9,0.041666667,14.6,30.8,0,0,0,0,0.4,2.2
ÃÖ¿øÁØ,K,RF,3.14,143,668,589,82,174,21,6,4,219,44,61,11,0,68,7,4,3,0.295,0.371,0.372,0.742,0.354,108.6,1.24,0.076,0.075,5.46,0.354,6.9,-4.9,-5.9,-10.8,4.7,0.018050542,28.2,44.1,3.35,40,13,2.1,0.6,6.6
ÃÖÀÎÈ£,ÇÑ,LF,0.27,49,164,136,17,28,6,0,4,46,23,24,2,0,43,1,0,2,0.206,0.329,0.338,0.668,0.321,87.7,-0.76,0.132,0.123,4.23,0.322,-2.5,0.3,-1.8,-1.5,-1.9,0.033333333,21.7,37.5,4.17,2,1,-0.1,0.3,3.4
ÃÖÀçÈÆ,ÇÑ,C,3.67,116,467,375,52,103,21,0,7,145,44,71,13,2,68,16,5,3,0.275,0.405,0.387,0.791,0.376,124.6,1.03,0.112,0.13,6.43,0.378,13.9,2.3,6.4,8.6,13.4,0.059701493,22.4,33.3,5.98,3,2,-0.4,-2.4,1.9
ÃÖÁ¤,S,3B,6.14,134,555,436,92,121,17,1,35,245,100,84,22,3,102,9,1,12,0.278,0.41,0.562,0.972,0.431,155.9,5.4,0.284,0.132,8.6,0.425,38,3.6,1.5,5.1,41.3,0.01984127,22.6,41.5,5.32,8,6,-1.2,0.9,3.5
ÃÖÁ¤¿ë,K,2B,-0.23,53,65,52,7,10,1,0,0,11,2,9,0,0,16,1,3,1,0.192,0.307,0.212,0.518,0.255,42,-0.66,0.019,0.114,1.98,0.254,-4.7,0.4,0.2,0.5,-4.9,0,28,31.6,5.26,2,0,0.4,-0.9,3.9
ÃÖÁ¤¿ø,N,2B,0.8,72,238,212,40,60,4,2,0,68,8,18,4,0,40,0,4,0,0.283,0.35,0.321,0.671,0.322,88.4,-0.6,0.038,0.067,4.25,0.323,-3.5,-0.1,0.7,0.6,-2.7,0.010204082,40.8,64.3,1.79,10,7,-1.1,2,7.1
ÃÖÁÖÈ¯,S,2B,2.36,116,470,406,50,104,16,0,18,174,67,53,9,4,84,7,0,2,0.256,0.353,0.429,0.782,0.361,111.2,-0.51,0.172,0.097,5.68,0.358,6.3,2.2,-2.3,-0.1,8.6,0.016666667,17.8,36.1,3.61,2,1,-0.2,0.2,2.5
ÃÖÁöÈÆ,S,CF,2.12,136,534,461,75,121,19,6,5,167,45,51,8,0,71,6,8,6,0.262,0.342,0.362,0.705,0.33,93.8,-0.19,0.1,0.08,4.51,0.331,-4.2,9.3,-0.9,8.5,9.1,0.059701493,34.8,56.7,3.85,26,6,2.4,1.6,7.4
ÃÖÇ×,S,2B,0.22,34,79,69,5,19,2,1,0,23,7,6,2,1,16,4,1,1,0.275,0.346,0.333,0.68,0.319,86.6,-0.25,0.058,0.071,4,0.321,-1.3,-1.2,-0.1,-1.3,-2.2,0,18.5,10,0,1,0,0.2,0.1,3.4
ÃÖÇü¿ì,K,DH,0.2,104,446,373,52,87,15,1,12,140,55,67,4,10,67,9,0,2,0.233,0.354,0.375,0.73,0.339,99.8,1.38,0.142,0.121,4.93,0.341,-0.3,0.5,-12.8,-12.3,-3.3,0.038461538,22,31.3,6.06,0,0,-0.1,-3.4,2.3
Ãß½Å¼ö,S,DH,3.89,137,580,461,84,122,19,2,21,208,69,103,12,4,123,8,0,4,0.265,0.409,0.451,0.86,0.4,137.4,4.59,0.187,0.144,7.47,0.397,26.5,-6.4,-12.4,-18.9,21.1,0.052434457,23.6,36.9,3.6,25,9,0.9,0.2,5
ÃßÀçÇö,·Ô,CF,0.64,95,300,262,37,66,15,0,5,96,26,26,7,0,57,3,5,0,0.252,0.336,0.366,0.702,0.329,90.1,-0.53,0.115,0.084,4.45,0.326,-3.8,1,-1.2,-0.2,-3.9,0.024193548,25.8,41.1,1.37,4,3,-0.6,-0.5,3.7
Å©·¹ÀÍ,Å°,1B,0.3,61,247,222,25,55,12,0,6,85,30,20,4,1,43,4,0,1,0.248,0.32,0.383,0.703,0.328,93.9,-0.52,0.135,0.072,4.35,0.332,-1.9,-3.7,-4.3,-8,-6.8,0.022727273,21.6,26.3,2.63,0,1,-0.5,-0.7,2.3
ÅÍÄ¿,K,LF,0.81,127,539,468,42,111,24,1,9,164,59,61,8,1,66,12,0,2,0.237,0.334,0.35,0.684,0.327,91,0.02,0.113,0.097,4.4,0.327,-6.1,-4.2,-6.5,-10.6,-12.2,0.03960396,16.3,27.3,4.04,0,0,-0.1,-1.7,1.8
Æä·¹Áî,ÇÑ,1B,0.69,59,252,225,26,60,15,1,5,92,33,17,4,0,52,4,0,6,0.267,0.321,0.409,0.73,0.337,98.6,-0.5,0.142,0.055,4.52,0.339,-0.5,0.9,-2.2,-1.3,-0.5,0.021052632,22.1,50,3.7,4,5,-1.4,0.6,3.8
Æä¸£³­µ¥½º,µÎ,DH,3.07,141,617,540,73,170,24,0,15,239,81,65,6,3,35,25,0,6,0.315,0.391,0.443,0.833,0.389,136.6,1.2,0.128,0.076,6.7,0.396,27.6,-1.9,-17.3,-19.2,20.4,0.011494253,22.2,21.4,2.86,0,2,-1.1,-4.2,1.4
ÇÁ·¹ÀÌÅ¸½º,Å°,DH,-0.04,43,148,139,13,36,10,0,2,52,14,7,1,0,29,7,0,1,0.259,0.297,0.374,0.671,0.313,81.8,-0.65,0.115,0.038,3.6,0.313,-3.4,-0.6,-2.9,-3.4,-4.3,0.022222222,24.4,31.6,5.26,0,0,0,-0.3,0.9
ÇÇ·¼¶ó,»ï,DH,3.26,140,621,553,102,158,25,2,29,274,97,57,8,2,89,8,0,3,0.286,0.359,0.495,0.855,0.389,128.7,3.27,0.21,0.073,6.6,0.384,21.7,-3.1,-15.2,-18.3,19,0.070866142,28.7,47.7,3.79,9,6,-1,1.4,4.6
ÇÏÁÖ¼®,ÇÑ,SS,3.09,138,594,525,84,143,27,3,10,206,68,51,10,1,135,9,5,3,0.272,0.346,0.392,0.739,0.345,104.4,-1.37,0.12,0.074,5.01,0.347,3,4.4,1.3,5.7,9.4,0.055555556,31.6,43.7,5.04,23,6,1.8,0.1,5.9
ÇÑµ¿Èñ,·Ô,3B,3.28,129,496,424,54,113,24,0,17,188,69,61,6,1,95,21,1,4,0.267,0.364,0.443,0.807,0.373,119,0.85,0.177,0.097,5.92,0.369,11.4,-2.2,1.6,-0.6,8.4,0.015306122,18.9,33.3,2.38,0,1,-0.6,-0.2,0.8
ÇÑ½ÂÅÃ,K,C,0.59,82,239,203,17,44,7,0,3,60,16,28,3,0,61,6,5,0,0.217,0.321,0.296,0.616,0.297,70.2,-1.16,0.079,0.104,3.31,0.296,-8.9,1.6,5,6.7,-7.4,0.025316456,17.7,34.7,2.04,0,0,-0.1,-0.2,1.2
ÇÑÀ¯¼¶,S,RF,3.9,135,519,442,71,123,18,1,31,236,95,60,10,4,96,11,1,6,0.278,0.373,0.534,0.907,0.404,138.6,1.99,0.256,0.094,7.27,0.399,24.4,1.3,-6.2,-4.9,25.2,0.037914692,19,34,4.12,1,0,0.1,-0.6,2.5
Çã°æ¹Î,µÎ,3B,2.07,136,518,468,61,130,24,1,5,171,59,36,8,1,35,21,3,3,0.278,0.338,0.365,0.703,0.332,96.8,-0.83,0.088,0.06,4.35,0.336,-2.2,-7.5,1.7,-5.8,-10.1,0.035353535,28.3,45.2,1.48,5,7,-2.2,1.9,2.7
Çã°üÈ¸,ÇÑ,C,-0.16,28,79,63,4,12,0,0,0,12,2,13,1,0,22,1,0,2,0.19,0.329,0.19,0.52,0.277,58.2,-0.57,0,0.139,2.79,0.278,-4.1,-1.2,0,-1.2,-6.1,0.111111111,14.8,20,5,0,0,0,-0.8,1.5
ÇãµµÈ¯,K,C,0.29,62,125,105,8,29,6,0,2,41,21,8,2,0,28,3,10,0,0.276,0.339,0.39,0.73,0.317,82.1,0.19,0.114,0.063,3.93,0.314,-2.8,0.8,2.5,3.3,-4,0.022727273,13.6,25.8,9.68,0,0,0,-2,1.1
ÇãÁ¤Çù,Å°,LF,-0.37,28,51,45,4,7,0,0,0,7,2,6,0,0,10,1,0,0,0.156,0.255,0.156,0.411,0.218,19,0.11,0,0.099,0.81,0.219,-5.1,1.6,-0.5,1.2,-3.7,0,22.2,22.2,0,0,0,0,-0.2,2.1
È£À×,K,RF,0.76,68,294,259,32,62,11,1,11,108,52,26,4,2,52,2,0,5,0.239,0.313,0.417,0.73,0.332,93.5,-0.01,0.178,0.074,4.47,0.331,-2.5,6.2,-2.8,3.4,4.4,0.00990099,20.8,45.1,1.96,5,2,0.1,0.6,4.4
È«Ã¢±â,L,CF,6.98,144,651,524,103,172,26,2,4,214,52,110,15,4,95,6,0,2,0.328,0.456,0.408,0.865,0.417,152.6,4.47,0.08,0.128,8.85,0.42,41.9,-6.9,-0.9,-7.8,38.1,0.044871795,31.7,52.8,2.54,23,8,0.8,2.2,5.2
È²´ëÀÎ,K,1B,0.11,86,308,282,30,67,10,1,13,118,45,18,2,0,62,8,1,5,0.238,0.283,0.418,0.702,0.317,85.1,0.01,0.181,0.046,3.76,0.318,-5.7,-1.5,-5.6,-7.1,-7.6,0.010526316,17.9,19.5,0,0,0,-0.1,-0.3,2.1
È²Àç±Õ,K,3B,2.93,117,507,453,74,132,16,2,10,182,56,46,3,1,92,11,1,4,0.291,0.358,0.402,0.76,0.356,108.4,-0.32,0.11,0.066,5.44,0.353,5,-5.2,1.5,-3.7,1.6,,32.7,54.7,3.77,11,4,0.3,1.5,4.8
Èú¸®,ÇÑ,1B,0.35,67,268,249,27,64,11,1,7,98,37,16,2,0,58,6,0,1,0.257,0.306,0.394,0.7,0.325,91,-0.57,0.137,0.049,4.13,0.327,-3.1,6.1,-4.9,1.2,3.3,,21.5,45.7,4.35,2,1,-0.1,0.4,3.3
